DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-30,172824,1,1,Mon,1,51.4952704
2020-03-11,135542,7,3,Wed,1,96.0250368
2020-03-30,109882,2,1,Mon,1,41.3149184
2020-03-27,269087,0,1,Fri,1,49.294336
2020-03-28,653806,0,2,Sat,1,164.8145408
2020-03-17,200028,0,3,Tue,1,217.6452096
2020-03-08,121340,4,3,Sun,1,183.081472
2020-03-30,225877,2,1,Mon,1,68.4020736
2020-03-17,113009,0,1,Tue,1,55.8147072
2020-03-05,247122,0,1,Thu,1,46.8955648
2020-03-18,308307,3,2,Wed,1,115.7427712
2020-03-06,107558,1,4,Fri,1,315.1045632
2020-03-07,410322,0,2,Sat,1,117.589248
2020-03-29,622004,1,2,Sun,1,87.3531904
2020-03-03,620380,2,1,Tue,1,193.1299328
2020-03-08,1657328,0,2,Sun,1,140.3899392
2020-03-27,199922,0,1,Fri,1,69.44896
2020-03-04,114131,2,1,Wed,1,53.4406656
2020-03-25,210845,0,1,Wed,1,50.613248
2020-03-05,126039,7,2,Thu,1,231.8894592
2020-03-19,126586,3,1,Thu,1,102.7597312
2020-03-20,115457,1,6,Fri,1,195.4297856
2020-03-28,174511,0,1,Sat,2,59.0955008
2020-03-22,108753,0,1,Sun,1,74.0486656
2020-03-17,114156,0,3,Tue,1,207.234048
2020-03-10,206744,0,1,Tue,1,49.6900096
2020-03-21,134993,0,1,Sat,1,63.7941248
2020-03-03,107710,15,1,Tue,1,121.6201728
2020-03-20,160659,0,1,Fri,1,64.5524992
2020-03-13,179936,0,1,Fri,1,54.2897152
2020-03-15,267292,0,1,Sun,1,68.665856
2020-03-13,108788,0,1,Fri,1,51.3221632
2020-03-02,311298,15,1,Mon,1,85.3500928
2020-03-27,627425,0,1,Fri,1,94.9122048
2020-03-07,270678,0,1,Sat,1,47.2417792
2020-03-04,195392,0,1,Wed,1,32.3710464
2020-03-14,415895,0,1,Sat,1,54.3886336
2020-03-15,163622,0,1,Sun,1,54.734848
2020-03-01,108540,5,2,Sun,1,125.2224512
2020-03-10,445566,1,1,Tue,1,63.8188544
2020-03-02,106120,1,1,Mon,1,93.14816
2020-03-06,122367,0,1,Fri,1,52.1712128
2020-03-08,202243,1,1,Sun,1,60.9749504
2020-03-21,139356,0,1,Sat,1,82.9842944
2020-03-07,153446,0,1,Sat,1,95.7530112
2020-03-26,111211,0,1,Thu,1,57.125376
2020-03-21,163717,0,1,Sat,1,168.8949248
2020-03-12,200263,1,1,Thu,1,132.839168
2020-03-08,116666,0,1,Sun,1,86.3227904
2020-03-14,307471,0,1,Sat,1,64.50304
2020-03-20,125728,0,2,Fri,1,118.5619456
2020-03-15,175103,2,1,Sun,1,46.8543488
2020-03-06,260438,0,1,Fri,1,96.8411136
2020-03-06,259903,0,1,Fri,1,92.52992
2020-03-14,893452,0,1,Sat,1,134.8257792
2020-03-10,208816,0,1,Tue,4,377.4891008
2020-03-06,107965,0,1,Fri,1,82.6710528
2020-03-25,118338,0,1,Wed,1,44.0351744
2020-03-16,258607,0,1,Mon,1,84.5587456
2020-03-17,199447,0,1,Tue,1,73.4304256
2020-03-08,211498,1,2,Sun,1,120.35072
2020-03-10,202197,0,1,Tue,1,75.1944704
2020-03-04,311298,40,2,Wed,1,146.481664
2020-03-27,202982,0,2,Fri,1,110.3105024
2020-03-10,211764,1,1,Tue,1,116.146688
2020-03-12,117920,1,2,Thu,1,106.6999808
2020-03-13,130268,0,1,Fri,1,90.3289856
2020-03-08,241255,19,2,Sun,1,214.9331968
2020-03-27,236401,0,1,Fri,1,40.9769472
2020-03-13,498781,0,1,Fri,1,89.686016
2020-03-05,693725,0,1,Thu,1,39.0892544
2020-03-28,150890,0,1,Sat,1,22.710016
2020-03-22,210950,0,1,Sun,1,70.6607104
2020-03-03,149345,11,1,Tue,1,152.7217664
2020-03-27,106521,0,1,Fri,1,67.6189696
2020-03-20,278775,0,1,Fri,1,60.2248192
2020-03-03,194747,1,1,Tue,1,60.9667072
2020-03-14,111983,0,1,Sat,1,83.2892928
2020-03-20,264199,1,1,Fri,2,186.29632
2020-03-10,264062,1,1,Tue,1,103.0317568
2020-03-12,525404,0,1,Thu,1,68.5586944
2020-03-03,134556,1,1,Tue,1,37.30048
2020-03-21,199782,0,1,Sat,2,49.4097408
2020-03-30,239250,0,1,Mon,1,94.0054528
2020-03-09,150154,0,1,Mon,1,54.3803904
2020-03-16,255470,1,2,Mon,1,188.7610368
2020-03-18,200046,0,1,Wed,1,49.4756864
2020-03-26,124050,0,1,Thu,1,63.9177728
2020-03-17,668603,0,1,Tue,1,76.909056
2020-03-04,116155,0,1,Wed,1,40.0289792
2020-03-28,120784,0,1,Sat,1,44.9831424
2020-03-20,148460,0,1,Fri,1,73.7436672
2020-03-10,173748,32,2,Tue,1,300.4811264
2020-03-04,135542,10,1,Wed,1,35.6188672
2020-03-11,189642,0,1,Wed,1,46.738944
2020-03-24,211548,0,1,Tue,1,47.4066432
2020-03-12,499047,0,1,Thu,1,68.7318016
2020-03-07,114321,6,3,Sat,1,203.6152832
2020-03-20,107255,0,1,Fri,5,197.8038272
